student_id,attendance,grades,assignments,participation,success
130,62,71,50,90,1
131,50,70,71,53,1
132,49,46,52,67,0
133,74,62,72,36,1
134,82,84,71,65,1
135,93,61,63,79,1
136,69,65,87,34,1
137,71,50,61,74,1
138,76,45,71,80,1
139,46,49,76,67,0
140,98,56,64,70,1
141,84,46,63,47,1
142,50,54,58,54,0
143,74,73,77,57,1
144,66,79,67,49,1
145,93,85,66,76,1
146,92,62,30,51,1
147,67,68,71,67,1
148,46,62,71,57,0
149,46,57,55,53,0
150,58,67,54,64,1
151,68,76,83,63,1
152,97,68,78,79,1
153,82,81,71,49,1
154,70,41,75,60,0
155,82,65,50,86,1
156,99,87,62,43,1
157,95,95,69,58,1
158,68,78,85,73,1
159,45,76,41,90,0
160,85,91,81,56,1
161,54,47,73,73,0
162,96,72,92,55,1
163,74,51,76,61,1
164,98,98,82,63,1
165,73,70,83,53,1
166,46,56,50,61,0
167,76,75,92,48,1
168,89,93,83,54,1
169,78,75,66,62,1
170,93,60,72,84,1
171,90,52,72,76,1
172,89,77,71,89,1
173,68,53,69,41,1
174,66,76,57,76,1
175,64,67,73,66,1
176,79,76,89,58,1
177,57,68,80,55,1
178,78,38,36,41,0
179,98,78,81,69,1
180,79,72,71,68,1
181,48,46,56,82,0
182,76,87,69,66,1
183,63,54,68,65,1
184,100,79,46,72,1
185,70,53,68,60,1
186,96,68,60,63,1
187,60,81,81,41,1
188,59,53,67,48,0
189,73,64,85,47,1
190,48,70,45,45,0
191,93,76,80,63,1
192,56,59,56,59,0
193,71,53,73,61,1
194,90,81,65,96,1
195,49,53,33,66,0
196,87,56,73,57,1
197,52,48,58,85,0
198,49,52,86,70,0
199,83,71,51,64,1
200,89,79,65,81,1
201,62,53,65,66,0
202,72,70,65,44,1
203,46,89,82,70,1
204,46,50,83,60,0
205,62,49,54,71,0
206,73,82,75,59,1
207,82,51,79,82,1
208,71,66,56,83,1
209,99,81,84,46,1
210,70,69,73,46,1
211,74,77,73,84,1
212,100,89,30,64,1
213,87,81,58,83,1
214,84,76,70,45,1
215,93,82,74,76,1
216,89,80,67,67,1
217,85,65,63,76,1
218,80,83,60,71,1
219,98,86,64,89,1
220,76,85,78,60,1
221,90,69,96,78,1
222,80,69,74,73,1
223,83,47,67,74,1
224,95,67,79,57,1
225,95,52,70,65,1
226,82,81,51,55,1
227,100,84,86,58,1
228,79,83,45,89,1
229,100,82,92,58,1
230,94,70,61,74,1
231,75,63,43,48,1
232,97,86,67,61,1
233,47,85,88,57,1
234,99,80,56,75,1
235,74,76,68,92,1
236,49,41,30,68,0
237,66,59,56,75,1
238,88,78,79,55,1
239,65,50,45,44,0
240,84,73,87,75,1
241,63,87,65,56,1
242,85,74,67,59,1
243,55,56,35,87,0
244,63,73,56,75,1
245,60,51,61,65,0
246,50,57,52,51,0
247,88,74,100,77,1
248,61,77,45,68,1
249,96,64,74,62,1
250,67,66,78,62,1
251,72,64,53,46,1
252,99,100,62,69,1
253,81,64,78,64,1
254,98,72,66,58,1
255,81,85,50,98,1
256,92,69,40,68,1
257,63,68,55,66,1
258,57,58,49,46,0
259,91,75,49,71,1
260,85,76,62,56,1
261,73,80,70,87,1
262,65,87,66,54,1
263,53,70,36,49,0
264,62,77,70,52,1
265,97,100,59,59,1
266,96,97,98,93,1
267,54,65,54,51,0
268,70,52,91,58,1
269,68,78,74,63,1
270,68,74,56,44,1
271,82,58,82,50,1
272,75,82,96,69,1
273,80,63,85,52,1
274,74,56,77,57,1
275,71,71,70,100,1
276,52,74,87,79,1
277,53,56,72,83,1
278,79,65,48,77,1
279,54,78,50,72,1
280,62,52,78,65,1
281,73,61,71,37,1
282,68,94,30,52,1
283,67,77,70,99,1
284,97,69,52,74,1
285,86,51,41,79,1
286,53,68,66,51,1
287,98,75,62,74,1
288,66,91,70,37,1
289,83,95,69,71,1
290,61,71,67,55,1
291,100,77,72,71,1
292,65,59,77,64,1
293,53,64,46,61,0
294,94,60,59,83,1
295,73,40,66,89,1
296,100,81,66,58,1
297,86,76,68,51,1
298,88,74,87,81,1
299,73,73,70,60,1
300,62,64,52,49,0
